"name","game_number","minutes_played","field_goals_made","field_goals_attempted","field_goal_percentage","three_points_made","three_points_attempted","three_point_percentage","free_throws_made","free_throws_attempted","free_throw_percentage","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points","plus_minus"
Saddiq Bey,1,32,6,15,0.4,0,4,0.0,1,2,0.5,2,7,9,4,0,0,1,4,13,-6
Saddiq Bey,2,34,8,16,0.5,1,5,0.2,3,3,1.0,2,14,16,1,1,1,4,1,20,-6
Saddiq Bey,3,33,8,16,0.5,3,8,0.375,2,2,1.0,2,5,7,3,2,0,2,1,21,-9
Saddiq Bey,4,34,7,14,0.5,4,9,0.444,1,4,0.25,1,5,6,2,0,0,1,0,19,-2
Saddiq Bey,5,33,4,17,0.235,3,8,0.375,2,2,1.0,3,4,7,1,1,1,0,2,13,-4
Saddiq Bey,6,27,4,8,0.5,1,4,0.25,0,0,,1,2,3,6,1,1,1,0,9,-15
Saddiq Bey,7,31,2,13,0.154,0,4,0.0,0,1,0.0,6,1,7,3,0,0,0,1,4,-25
Saddiq Bey,8,37,3,9,0.333,1,5,0.2,0,0,,4,1,5,4,1,0,0,2,7,3
Saddiq Bey,9,30,5,13,0.385,2,5,0.4,0,0,,0,1,1,3,4,0,3,2,12,-19
Saddiq Bey,10,35,6,17,0.353,2,9,0.222,2,2,1.0,5,4,9,3,1,0,0,1,16,14
Saddiq Bey,11,31,1,12,0.083,0,5,0.0,2,2,1.0,1,6,7,2,0,0,2,0,4,-9
Saddiq Bey,12,31,4,11,0.364,3,7,0.429,5,6,0.833,1,7,8,5,2,0,0,1,16,-6
Saddiq Bey,13,27,9,17,0.529,4,9,0.444,6,7,0.857,2,2,4,3,2,0,3,3,28,-9
Saddiq Bey,14,33,5,14,0.357,3,4,0.75,2,4,0.5,2,4,6,0,2,0,3,2,15,-1
Saddiq Bey,15,36,3,14,0.214,1,6,0.167,0,0,,4,1,5,3,0,1,2,2,7,-10
Saddiq Bey,16,34,6,13,0.462,2,7,0.286,0,0,,1,3,4,2,1,0,1,4,14,5
Saddiq Bey,17,35,6,16,0.375,3,10,0.3,0,0,,1,4,5,0,0,0,2,1,15,1
Saddiq Bey,18,33,4,11,0.364,3,8,0.375,2,4,0.5,0,7,7,1,0,0,1,3,13,-18
Saddiq Bey,19,22,4,12,0.333,1,6,0.167,0,0,,1,1,2,1,0,0,0,2,9,-28
Saddiq Bey,20,32,2,9,0.222,0,3,0.0,2,2,1.0,4,7,11,2,3,0,2,3,6,-6
Saddiq Bey,21,26,1,9,0.111,0,4,0.0,0,0,,0,2,2,5,0,0,0,1,2,-19
Saddiq Bey,22,31,2,9,0.222,2,6,0.333,2,2,1.0,0,3,3,2,0,0,2,1,8,-17
Saddiq Bey,23,40,5,16,0.313,3,8,0.375,2,2,1.0,2,5,7,2,2,0,0,2,15,-2
Saddiq Bey,24,22,3,6,0.5,2,4,0.5,0,2,0.0,0,4,4,2,1,0,4,1,8,-13
Saddiq Bey,25,28,3,12,0.25,3,6,0.5,2,2,1.0,1,3,4,0,2,0,0,2,11,-17
Saddiq Bey,26,26,2,9,0.222,0,5,0.0,0,0,,0,2,2,1,1,0,2,2,4,-7
Saddiq Bey,27,36,9,17,0.529,3,8,0.375,7,7,1.0,2,8,10,5,0,0,2,2,28,-3
Saddiq Bey,28,36,9,16,0.563,3,7,0.429,2,2,1.0,1,3,4,3,1,1,0,3,23,0
Saddiq Bey,29,36,7,13,0.538,3,6,0.5,9,10,0.9,0,4,4,2,0,0,0,1,26,18
Saddiq Bey,30,36,5,19,0.263,3,13,0.231,2,2,1.0,0,7,7,3,1,0,2,1,15,-9
Saddiq Bey,31,43,7,13,0.538,4,8,0.5,5,5,1.0,0,10,10,5,1,0,4,4,23,-3
Saddiq Bey,32,41,5,16,0.313,1,6,0.167,12,14,0.857,0,8,8,1,1,0,2,2,23,-25
Saddiq Bey,33,43,9,19,0.474,6,13,0.462,8,8,1.0,0,9,9,3,0,1,3,2,32,-1
Saddiq Bey,34,46,7,23,0.304,2,12,0.167,5,6,0.833,4,13,17,3,2,0,5,4,21,11
